AnnualIncome,HouseholdSize,YrsEdAfterHS,HrWkTV,AnnualCharges
21.8,4,5,29,10023.52
65.5,7,3,46,11248.76
54.2,3,2,18,6115
73.7,6,0,44,9785.55
110.4,7,5,39,12633.98
22.1,8,3,39,3309.42
39.6,5,4,40,18927.68
90.6,8,5,27,15762.55
38.7,1,4,15,0
60.5,3,1,3,11294.9
104.3,4,5,58,21484.52
44.5,3,5,19,11023.75
67.1,6,1,33,20523.11
72.3,3,3,27,17274.75
114.8,5,3,23,25181.64
96,6,2,36,11498.39
90.2,4,0,59,16442.82
54.6,4,0,6,4410.32
97.4,4,4,30,15200.75
45.9,7,3,46,16624.83
61.8,4,4,53,11055.97
38.6,2,3,57,6595.49
68.9,3,3,27,9007.33
73.4,7,1,9,20757.31
22.6,6,0,17,9886.82
50.5,7,5,20,939.95
81.6,5,1,32,5236.84
37.3,1,4,18,1408.93
66.1,4,3,38,8598.72
24.3,5,3,46,9471.39
32.5,8,4,14,1188.5
65.7,8,1,16,8496.08
51.4,1,3,18,15463.32
101.8,8,5,22,20736.38
31.8,4,4,17,1237.09
120.9,8,1,16,19291.62
102.8,7,3,53,19200.32
70.4,5,2,20,8694.3
43.2,6,0,11,2502.03
33.6,6,2,21,1716.98
32.9,3,2,56,862.5
97.9,5,3,21,10910
101.7,3,2,15,9562.92
77.2,5,4,59,21031.75
86.2,5,4,54,8989.74
111.9,6,0,56,23658.83
59.8,6,3,23,13964.96
74.5,6,2,38,8914.84
56.8,1,3,46,10087.41
39.9,6,2,42,5053.99
96.6,4,2,7,10773.19
53.5,1,0,14,9498.55
126.9,5,0,43,17047.29
49.9,7,4,23,8283.89
52,6,0,38,14795.85
114.8,1,1,16,11478.03
126.9,6,2,5,23127.27
60.3,5,4,3,8293.65
42.3,4,3,10,5448.48
99.5,2,4,20,14488.95
34.9,4,3,54,5718.26
71.5,3,0,34,18336.19
51.6,8,2,21,7751.03
90.7,4,0,60,15915.42
16.4,5,2,27,3649.49
47,7,4,8,19459.4
58.7,4,1,46,14838.47
81.4,6,4,49,10440.05
77.8,6,5,39,5582.47
99.2,1,2,4,7289.82
27.6,3,1,16,6700.83
82.3,5,5,34,17472.88
118.3,6,4,15,20736.25
67.5,7,2,10,19718.98
78.6,4,5,50,13959.69
36.9,6,2,17,9025.36
30.4,1,3,13,11288.56
24.1,3,2,41,10742.15
49.2,2,0,29,3490.56
76.4,5,1,12,17070.8
15.9,3,4,49,874.41
59.6,1,2,26,4974.55
105.7,3,4,56,15742.73
56.3,7,0,18,9199.38
74.7,7,4,40,16966.78
30.7,1,3,36,0
103.8,5,1,10,12269.11
60.1,7,3,30,12189.83
23.3,6,4,34,3211.6
77.3,3,5,50,15906.89
69.7,2,2,9,19535.96
106.8,6,3,59,22651.98
104.1,2,4,27,13785.76
80.3,2,4,17,10559.04
89.9,2,3,43,11414.29
82.6,2,3,6,10717.49
45.5,2,4,11,8335.26
45.7,7,1,2,15452.7
76.1,5,5,47,11002.96
91.3,4,2,14,19451.41
105.8,4,5,25,19186.77
43,8,3,59,17269.26
66.7,5,0,36,10374.6
48.1,2,3,22,7100.11
29.7,1,4,41,0
98.7,2,3,57,15122.05
119.5,5,3,24,22067.02
111.9,3,5,51,11123.51
30.5,6,2,49,12083.96
49.9,6,0,36,13614.23
54.7,2,3,40,0
116.4,8,2,59,18483.68
68.4,5,1,55,12071.37
28.3,5,4,46,0
71.7,7,1,57,18469.47
69.8,6,1,45,16850.23
78.3,8,1,5,15385.82
85.2,7,1,32,22115.26
22.6,3,4,35,0
43.1,7,5,4,733.3
109.6,4,1,1,23703.03
56.7,5,4,20,8180.7
125.5,1,0,21,10065.5
52,3,1,54,10110.61
40,7,2,39,1831.48
46,5,2,3,8507.31
101.3,3,4,38,6776.17
101.1,4,3,11,23609.1
83.1,7,0,6,6643.43
69.2,1,1,5,8533.67
47.4,8,4,33,4885.98
82,7,2,57,7256.53
76.1,8,4,1,14980.84
63.9,5,5,57,13574.76
87.8,3,2,58,16494.31
67.1,2,1,19,8563.2
30.5,4,2,53,12183.08
69.6,4,3,46,12579.73
31.9,6,3,53,10089.02
36.2,3,5,21,4751.92
96.3,4,4,33,15505.66
50.3,2,5,44,12924.75
97.7,7,5,16,21855.16
70.6,5,2,51,12321.39
71.9,3,4,46,9642.69
22.9,7,0,43,2793.13
68.9,2,5,50,19172.41
30,8,4,47,8648.89
116.9,1,5,7,20998.9
82,2,4,33,7789.87
29.9,7,5,5,11345.04
117.5,3,3,32,19539.8
66.5,3,0,37,16778.16
60,5,2,7,4750.3
50.8,4,3,23,14612.67
77.8,6,4,39,22781.38
100.2,2,0,15,10945.93
